ID_PROVINCIA;PROVINCIAS;2005_TOTAL;2006_TOTAL;2007_TOTAL;2008_TOTAL;2009_TOTAL;2010_TOTAL;2011_TOTAL;2012_TOTAL;2013_TOTAL;2014_TOTAL;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
37;SALAMANCA;1226;1226;1143;1139;1129;1128;1095;1095;1075;1051;352414;353110;351326;353404;354608;353619;352986;350564;345548;342459;3,48;3,47;3,25;3,22;3,18;3,19;3,10;3,12;3,11;3,07;-0,20%;-6,30%;-0,94%;-1,21%;0,19%;-2,75%;0,69%;-0,40%;-1,35%
38;SANTA CRUZ DE TENERIFE;4236;4195;3894;3805;3781;3762;3769;3741;3740;3744;956352;971647;983820;1005936;1020490;1027914;1029789;1017531;1014829;1004788;4,43;4,32;3,96;3,78;3,71;3,66;3,66;3,68;3,69;3,73;-2,53%;-8,32%;-4,43%;-2,05%;-1,22%;0,00%;0,45%;0,24%;1,11%
39;CANTABRIA;2422;2449;2170;2167;2140;2133;2042;1999;2016;2018;562309;568091;572824;582138;589235;592250;593121;593861;591888;588656;4,31;4,31;3,79;3,72;3,63;3,60;3,44;3,37;3,41;3,43;0,09%;-12,12%;-1,74%;-2,44%;-0,83%;-4,41%;-2,23%;1,19%;0,65%
40;SEGOVIA;500;481;482;482;482;482;481;481;481;481;155517;156598;159322;163899;164854;164268;164169;163701;161702;159303;3,22;3,07;3,03;2,94;2,92;2,93;2,93;2,94;2,97;3,02;-4,46%;-1,51%;-2,79%;-0,58%;0,36%;-0,15%;0,29%;1,24%;1,51%
41;SEVILLA;4809;4924;5086;4992;5113;4940;4871;4871;4671;4688;1813908;1835077;1849268;1875462;1900224;1917097;1928962;1938974;1942155;1941355;2,65;2,68;2,75;2,66;2,69;2,58;2,53;2,51;2,41;2,41;1,21%;2,50%;-3,22%;1,09%;-4,23%;-2,00%;-0,52%;-4,26%;0,41%
42;SORIA;383;363;355;355;355;355;355;355;336;336;92773;93503;93593;94646;95101;95258;95223;94522;93291;92221;4,13;3,88;3,79;3,75;3,73;3,73;3,73;3,76;3,60;3,64;-5,96%;-2,30%;-1,11%;-0,48%;-0,16%;0,04%;0,74%;-4,10%;1,16%
43;TARRAGONA;3749;3660;3795;3733;3793;3758;3782;3794;3822;3825;704907;730466;757795;788895;803301;808420;811401;814199;810178;800962;5,32;5,01;5,01;4,73;4,72;4,65;4,66;4,66;4,72;4,78;-5,79%;-0,05%;-5,51%;-0,21%;-1,55%;0,27%;-0,03%;1,24%;1,23%
44;TERUEL;604;541;541;556;556;556;556;536;536;536;141091;142160;144046;146324;146751;145277;144607;143728;142183;140365;4,28;3,81;3,76;3,80;3,79;3,83;3,84;3,73;3,77;3,82;-11,10%;-1,31%;1,17%;-0,29%;1,01%;0,46%;-3,01%;1,09%;1,30%
45;TOLEDO;1576;1580;1582;1630;1682;1687;1689;1693;1675;1666;598256;615618;639621;670203;689635;697959;707242;711228;706407;699136;2,63;2,57;2,47;2,43;2,44;2,42;2,39;2,38;2,37;2,38;-2,57%;-3,63%;-1,67%;0,28%;-0,90%;-1,20%;-0,32%;-0,39%;0,50%
46;VALENCIA;6629;6677;6675;6583;7019;7117;7008;6773;6692;6680;2416628;2463592;2486483;2543209;2575362;2581147;2578719;2580792;2566474;2548898;2,74;2,71;2,68;2,59;2,73;2,76;2,72;2,62;2,61;2,62;-1,20%;-0,95%;-3,58%;5,29%;1,17%;-1,44%;-3,43%;-0,64%;0,51%
47;VALLADOLID;1804;1822;1781;1809;1921;1965;1985;2043;2043;2043;514674;519249;521661;529019;532575;533640;534874;534280;532284;529157;3,51;3,51;3,41;3,42;3,61;3,68;3,71;3,82;3,84;3,86;0,11%;-2,70%;0,16%;5,48%;2,09%;0,78%;3,04%;0,37%;0,59%
48;VIZCAYA;4026;3950;3929;3918;3909;3987;3826;3986;3838;3843;1136181;1139863;1141457;1146421;1152658;1153724;1155772;1158439;1156447;1151905;3,54;3,47;3,44;3,42;3,39;3,46;3,31;3,44;3,32;3,34;-2,20%;-0,67%;-0,71%;-0,77%;1,90%;-4,21%;3,94%;-3,55%;0,53%
49;ZAMORA;656;646;673;672;674;666;644;644;644;644;198045;197492;197237;197221;195665;194214;193383;191612;188270;185432;3,31;3,27;3,41;3,41;3,44;3,43;3,33;3,36;3,42;3,47;-1,25%;4,31%;-0,14%;1,10%;-0,45%;-2,89%;0,92%;1,78%;1,53%
50;ZARAGOZA;4101;4139;4171;4148;4130;4137;4119;4099;4061;4085;912072;917288;932502;955323;970313;973252;973325;978130;978638;960111;4,50;4,51;4,47;4,34;4,26;4,25;4,23;4,19;4,15;4,25;0,35%;-0,87%;-2,93%;-1,97%;-0,13%;-0,44%;-0,97%;-0,98%;2,53%
51;CEUTA;213;213;213;213;213;465;302;252;252;252;75276;75861;76603;77389;78674;80579;82376;84018;84180;84963;2,83;2,81;2,78;2,75;2,71;5,77;3,67;3,00;2,99;2,97;-0,77%;-0,97%;-1,02%;-1,63%;113,15%;-36,47%;-18,19%;-0,19%;-0,92%
52;MELILLA;222;222;222;172;172;172;170;170;170;170;65488;66871;69440;71448;73460;76034;78476;80802;83679;84509;3,39;3,32;3,20;2,41;2,34;2,26;2,17;2,10;2,03;2,01;-2,07%;-3,70%;-24,70%;-2,74%;-3,39%;-4,24%;-2,88%;-3,44%;-0,98%
